Performing grid search with population_size=50, crossover_rate=0.6, & mutation_rate=0.01
Performing grid search with population_size=100, crossover_rate=1, & mutation_rate=0.1
Performing grid search with population_size=100, crossover_rate=1, & mutation_rate=0.15
Performing grid search with population_size=100, crossover_rate=1, & mutation_rate=0.2
Performing grid search with population_size=200, crossover_rate=0.6, & mutation_rate=0.01
Performing grid search with population_size=200, crossover_rate=0.6, & mutation_rate=0.05
Performing grid search with population_size=200, crossover_rate=0.6, & mutation_rate=0.1
Performing grid search with population_size=200, crossover_rate=0.6, & mutation_rate=0.15
Performing grid search with population_size=200, crossover_rate=0.6, & mutation_rate=0.2
Performing grid search with population_size=200, crossover_rate=0.7, & mutation_rate=0.01
Performing grid search with population_size=200, crossover_rate=0.7, & mutation_rate=0.05
Performing grid search with population_size=200, crossover_rate=0.7, & mutation_rate=0.1
Performing grid search with population_size=200, crossover_rate=0.7, & mutation_rate=0.15
Performing grid search with population_size=200, crossover_rate=0.7, & mutation_rate=0.2
Performing grid search with population_size=200, crossover_rate=0.8, & mutation_rate=0.01
Performing grid search with population_size=200, crossover_rate=0.8, & mutation_rate=0.05
Performing grid search with population_size=200, crossover_rate=0.8, & mutation_rate=0.1
Performing grid search with population_size=200, crossover_rate=0.8, & mutation_rate=0.15
Performing grid search with population_size=200, crossover_rate=0.8, & mutation_rate=0.2
Performing grid search with population_size=200, crossover_rate=0.9, & mutation_rate=0.01
Performing grid search with population_size=200, crossover_rate=0.9, & mutation_rate=0.05
Performing grid search with population_size=200, crossover_rate=0.9, & mutation_rate=0.1
Performing grid search with population_size=200, crossover_rate=0.9, & mutation_rate=0.15
Performing grid search with population_size=200, crossover_rate=0.9, & mutation_rate=0.2
Performing grid search with population_size=200, crossover_rate=1, & mutation_rate=0.01
Performing grid search with population_size=200, crossover_rate=1, & mutation_rate=0.05
Performing grid search with population_size=200, crossover_rate=1, & mutation_rate=0.1
Performing grid search with population_size=200, crossover_rate=1, & mutation_rate=0.15
Performing grid search with population_size=200, crossover_rate=1, & mutation_rate=0.2
Performing grid search with population_size=300, crossover_rate=0.6, & mutation_rate=0.01
Performing grid search with population_size=300, crossover_rate=0.6, & mutation_rate=0.05
Performing grid search with population_size=300, crossover_rate=0.6, & mutation_rate=0.1
Performing grid search with population_size=300, crossover_rate=0.6, & mutation_rate=0.15
Performing grid search with population_size=300, crossover_rate=0.6, & mutation_rate=0.2
Performing grid search with population_size=300, crossover_rate=0.7, & mutation_rate=0.01
Performing grid search with population_size=300, crossover_rate=0.7, & mutation_rate=0.05
Performing grid search with population_size=300, crossover_rate=0.7, & mutation_rate=0.1
Performing grid search with population_size=300, crossover_rate=0.7, & mutation_rate=0.15
Performing grid search with population_size=300, crossover_rate=0.7, & mutation_rate=0.2
Performing grid search with population_size=300, crossover_rate=0.8, & mutation_rate=0.01
Performing grid search with population_size=300, crossover_rate=0.8, & mutation_rate=0.05
Performing grid search with population_size=300, crossover_rate=0.8, & mutation_rate=0.1
Performing grid search with population_size=300, crossover_rate=0.8, & mutation_rate=0.15
Performing grid search with population_size=300, crossover_rate=0.8, & mutation_rate=0.2
Performing grid search with population_size=300, crossover_rate=0.9, & mutation_rate=0.01
Performing grid search with population_size=300, crossover_rate=0.9, & mutation_rate=0.05
Performing grid search with population_size=300, crossover_rate=0.9, & mutation_rate=0.1
Performing grid search with population_size=300, crossover_rate=0.9, & mutation_rate=0.15
Performing grid search with population_size=300, crossover_rate=0.9, & mutation_rate=0.2
Performing grid search with population_size=300, crossover_rate=1, & mutation_rate=0.01
Performing grid search with population_size=300, crossover_rate=1, & mutation_rate=0.05
Performing grid search with population_size=300, crossover_rate=1, & mutation_rate=0.1
Performing grid search with population_size=300, crossover_rate=1, & mutation_rate=0.15
Performing grid search with population_size=300, crossover_rate=1, & mutation_rate=0.2
Performing grid search with population_size=500, crossover_rate=0.6, & mutation_rate=0.01
Performing grid search with population_size=500, crossover_rate=0.6, & mutation_rate=0.05
Performing grid search with population_size=500, crossover_rate=0.6, & mutation_rate=0.1
Performing grid search with population_size=500, crossover_rate=0.6, & mutation_rate=0.15
Performing grid search with population_size=500, crossover_rate=0.6, & mutation_rate=0.2
Performing grid search with population_size=500, crossover_rate=0.7, & mutation_rate=0.01
Performing grid search with population_size=500, crossover_rate=0.7, & mutation_rate=0.05
Performing grid search with population_size=500, crossover_rate=0.7, & mutation_rate=0.1
Performing grid search with population_size=500, crossover_rate=0.7, & mutation_rate=0.15
Performing grid search with population_size=500, crossover_rate=0.7, & mutation_rate=0.2
Performing grid search with population_size=500, crossover_rate=0.8, & mutation_rate=0.01
Performing grid search with population_size=500, crossover_rate=0.8, & mutation_rate=0.05
Performing grid search with population_size=500, crossover_rate=0.8, & mutation_rate=0.1
Performing grid search with population_size=500, crossover_rate=0.8, & mutation_rate=0.15
Performing grid search with population_size=500, crossover_rate=0.8, & mutation_rate=0.2
Performing grid search with population_size=500, crossover_rate=0.9, & mutation_rate=0.01
Performing grid search with population_size=500, crossover_rate=0.9, & mutation_rate=0.05
Performing grid search with population_size=500, crossover_rate=0.9, & mutation_rate=0.1
Performing grid search with population_size=500, crossover_rate=0.9, & mutation_rate=0.15
Performing grid search with population_size=500, crossover_rate=0.9, & mutation_rate=0.2
Performing grid search with population_size=500, crossover_rate=1, & mutation_rate=0.01
Performing grid search with population_size=500, crossover_rate=1, & mutation_rate=0.05
Performing grid search with population_size=500, crossover_rate=1, & mutation_rate=0.1
Performing grid search with population_size=500, crossover_rate=1, & mutation_rate=0.15
Performing grid search with population_size=500, crossover_rate=1, & mutation_rate=0.2
Best solution: [65, 4, 97, 42, 89, 31, 80, 56, 1, 8, 92, 67, 28, 93, 77, 20, 57, 9, 55, 7, 87, 85, 68, 73, 44, 50, 39, 37, 96, 30, 34, 51, 58, 61, 25, 81, 69, 64, 40, 54, 2, 82, 95, 13, 76, 33, 5, 78, 52, 48, 71, 41, 100, 29, 14, 3, 43, 46, 83, 12, 86, 27, 35, 62, 60, 23, 98, 91, 32, 45, 11, 47, 74, 59, 15, 17, 21, 72, 10, 63, 6, 49, 90, 19, 75, 66, 16, 94, 88, 53, 84, 36, 79, 18, 24, 38, 99, 22, 70, 26]
Best solution fitness: 30537.64116502627
Population size: 500
Crossover rate: 0.9
Mutation rate: 0.2
Time taken: 26.288079738616943
