timestamp	remote	refid	st	t	when	poll	reach	delay	offset	jitter
1740248219	+150.241.82.187	193.182.111.13	3	u	421	512	177	62.565	-7.301	8.783
1740248219	-159.196.178.7	.PPS.	1	u	488	512	377	304.476	-23.612	3.826
1740248219	-202.65.114.202	202.65.114.203	2	u	471	512	377	209.834	-8.503	2.285
1740248219	*2a01:258:fffe:f	193.120.142.71	2	u	416	512	377	28.826	-2.366	3.055
1740248219	-2603:c020:0:836	128.138.140.44	2	u	501	512	377	187.564	-24.577	3.778
1740249427	+213.5.132.231	145.185.133.33	4	u	174	512	377	35.546	-6.469	8.140
1740249427	+150.241.82.187	193.182.111.13	3	u	90	512	375	67.540	-5.908	8.359
1740249427	-159.196.178.7	.PPS.	1	u	104	512	377	305.213	-24.129	3.682
1740249427	-202.65.114.202	202.65.114.203	2	u	96	512	377	210.108	-8.692	2.907
1740249427	*2a01:258:fffe:f	193.120.142.71	2	u	19	512	377	29.041	-2.731	1.190
1740249427	-2603:c020:0:836	128.138.140.44	2	u	132	512	377	186.885	-24.498	1.680
1740250631	+213.5.132.231	145.185.133.33	4	u	314	512	377	34.605	-5.401	7.383
1740250631	+150.241.82.187	193.182.111.13	3	u	258	512	367	66.971	-5.443	8.180
1740250631	-159.196.178.7	.PPS.	1	u	253	512	377	305.213	-24.129	4.534
1740250631	-202.65.114.202	202.65.114.203	2	u	253	512	377	215.096	-10.676	4.488
1740250631	*2a01:258:fffe:f	193.120.142.71	2	u	163	512	377	29.041	-2.731	1.440
1740250631	-2603:c020:0:836	128.138.140.44	2	u	278	512	377	186.457	-24.247	0.434
